1.9013,-21.552,246.44,-19.915,227.83,1
1.9164,-12.796,131.44,-12.199,125.35,1
1.9315,-9.6237,89.92,-9.28,86.724,1
1.9466,-7.7548,65.203,-7.651,64.295,1
1.9618,-6.57,50.438,-6.2991,48.319,1
1.977,-4.263,34.969,-4.2448,34.794,1
1.9924,-2.5169,23.454,-2.5217,23.482,1
2.0078,-1.573,16.591,-1.6302,17.183,1
2.0234,-1.0428,12.337,-1.006,11.895,1
2.039,-0.68295,8.9169,-0.68234,8.9044,1
2.0546,-0.4674,6.5519,-0.44661,6.2579,1
2.0704,-0.32902,4.7229,-0.31739,4.5545,1
2.0862,-0.24158,3.2711,-0.23776,3.2187,0
2.1021,-0.18556,2.0464,-0.2009,2.2153,0
2.1181,-0.15909,1.0572,-0.16308,1.0836,0
2.1341,-0.16204,0.18177,-0.16227,0.18203,0
2.1502,-0.17143,0.72854,-0.17009,0.72283,0
2.1664,-0.17447,1.7029,-0.17832,1.7403,0
2.1827,-0.1648,2.8173,-0.17037,2.9116,0
2.1992,-0.1375,4.2471,-0.14405,4.4452,1
2.2157,-0.072564,6.0381,-0.07303,6.0516,1
2.2324,0.058243,8.8984,0.054162,8.3751,1
2.2493,0.32136,12.696,0.31187,12.379,1
2.2665,0.80775,17.771,0.83472,18.435,1
2.2839,1.8531,27.362,1.773,26.273,1
2.3017,3.8792,41.978,3.6545,39.678,1
2.3198,9.0614,76.075,8.6623,72.928,1
2.3382,29.323,199.78,26.139,178.41,1
2.3569,329.1,1896.2,171.27,987,1
2.3756,31.739,155,27.925,136.12,1
2.3941,17.3,73.708,15.484,65.809,1
2.4123,8.7575,38.869,8.117,35.939,1
2.4301,4.3482,20.883,4.1829,20.048,1
2.4478,2.2439,11.446,2.1892,11.148,1
2.4652,1.1136,5.6703,1.1091,5.641,1
2.4824,0.51016,2.1197,0.51026,2.1188,1
2.4995,0.20732,0.039377,0.20603,0.039131,0
2.5164,0.29481,1.4412,0.30463,1.4886,1
2.5333,0.34166,2.4575,0.34336,2.4687,1
2.5501,0.33962,3.0508,0.34116,3.0636,1
2.5669,0.32848,3.4852,0.3264,3.4622,1
2.5836,0.31748,3.8687,0.32848,4.0019,1
